film,year_film,Total oscars nominations,Total oscars won,Oscars main categories nominations,Oscars main categories won,Oscars best picture,G.G. nominations,G.G. won,G.G. main categories nominations,G.G. main categories won,G.G. best motion picture,TMDb Score
Far from the Madding Crowd,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.044
I Even Met Happy Gypsies,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8
Ski Fever,1967,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
El Amor Brujo,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.977
A King's Story,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7
In Cold Blood,1967,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.46
In the Heat of the Night,1967,6.0,4.0,3.0,2.0,1.0,5.0,2.0,4.0,1.0,1.0,7.647
Smashing Time,1967,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.4
The Stranger,1967,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.2
The Comedians,1967,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.059
Divorce American Style,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.925
The Redwoods,1967,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Paddle to the Sea,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.818
The Taming of the Shrew,1967,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5.445
The Whisperers,1967,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,6.352
Portrait of Chieko,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hypothese Beta,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
The Jungle Book,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.863
The Happiest Millionaire,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8
A Time for Burning,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3
The Climax,1967,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,5.4
The Anderson Platoon,1967,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
The Fox,1967,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,6.2
Guess Who's Coming to Dinner,1967,10.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.57
"Stop, Look and Listen",1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
The Box,1967,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.599
Harvest,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Dirty Dozen,1967,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.594
Sky over Holland,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
The Jokers,1967,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.967
Festival,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7
A Place to Stand,1967,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.714
See You at the Pillar,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
The Graduate,1967,7.0,1.0,5.0,1.0,0.0,5.0,3.0,4.0,3.0,1.0,7.652
Thoroughly Modern Millie,1967,6.0,0.0,1.0,0.0,0.0,5.0,1.0,3.0,1.0,0.0,6.9
Tobruk,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.117
Doctor Dolittle,1967,8.0,2.0,1.0,0.0,0.0,5.0,1.0,3.0,1.0,0.0,5.684
Two for the Road,1967,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0
Monument to the Dream,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8
Casino Royale,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.551
Cool Hand Luke,1967,4.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,7.7
Camelot,1967,5.0,3.0,0.0,0.0,0.0,5.0,3.0,3.0,1.0,0.0,6.1
Accident,1967,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.2
Woman Times Seven,1967,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.344
La Guerre Est Finie,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.361
Bonnie and Clyde,1967,9.0,2.0,6.0,1.0,0.0,6.0,0.0,5.0,0.0,0.0,7.487
Elvira Madigan,1967,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.8
Banning,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1
Far From The Madding Crowd,1967,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,7.044
Barefoot in the Park,1967,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.116
Guess Who's Coming To Dinner,1967,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,7.57
Live for Life,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.313
Beach Red,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.29
While I Run This Race,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Wait Until Dark,1967,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,7.4
Live For Life,1967,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,6.313
Wait until Dark,1967,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4
Ulysses,1967,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.969
Closely Watched Trains,1967,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.281
What on Earth!,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75
Valley of the Dolls,1967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.926
The Firemen's Ball,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.075
Benjamin,1968,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.295
Finian's Rainbow,1968,2.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,5.805
The Dove,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4
"Buona Sera, Mrs. Campbell",1968,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,5.9
For Love of Ivy,1968,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5.8
The Shoes of the Fisherman,1968,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,6.738
The Subject Was Roses,1968,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.4
The Producers,1968,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.17
The Boys of Paul Street,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.68
The Fixer,1968,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,5.75
The Boston Strangler,1968,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.813
The Battle of Algiers,1968,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.879
The Bride Wore Black,1968,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.135
The Thomas Crown Affair,1968,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,6.741
The Young Girls of Rochefort,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7
"Odd Couple, The (1968)",1968,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,Not available
Funny Girl,1968,8.0,1.0,3.0,1.0,0.0,4.0,1.0,3.0,1.0,0.0,7.2
The Fox,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
Poor Cow,1968,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.525
The Girl with the Pistol,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.849
Charly,1968,1.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,6.484
Duo,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Shame,1968,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.946
Why Man Creates,1968,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6
Wild in the Streets,1968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.845
