year_film,year_award,Golden Globes nominations,nominee,film,Golden Globes winner
2020,2021,Best Director - Motion Picture,Chloé Zhao,Nomadland,True
2020,2021,Best Director - Motion Picture,Aaron Sorkin,"Trial of the Chicago 7, The",False
2020,2021,Best Director - Motion Picture,David Fincher,Mank,False
2020,2021,Best Director - Motion Picture,Emerald Fennell,Promising Young Woman,False
2020,2021,Best Director - Motion Picture,Regina King,One Night in Miami…,False
2020,2021,Best Motion Picture - Animated,Soul,,True
2020,2021,Best Motion Picture - Animated,"Croods: A New Age, The",,False
2020,2021,Best Motion Picture - Animated,Onward,,False
2020,2021,Best Motion Picture - Animated,Over the Moon,,False
2020,2021,Best Motion Picture - Animated,Wolfwalkers,,False
2020,2021,Best Motion Picture - Drama,Nomadland,,True
2020,2021,Best Motion Picture - Drama,"Father, The",,False
2020,2021,Best Motion Picture - Drama,Mank,,False
2020,2021,Best Motion Picture - Drama,Promising Young Woman,,False
2020,2021,Best Motion Picture - Drama,"Trial of the Chicago 7, The",,False
2020,2021,Best Motion Picture – Non-English Language,Minari,,True
2020,2021,Best Motion Picture – Non-English Language,Another Round,Denmark,False
2020,2021,Best Motion Picture – Non-English Language,Two of Us,"France, USA",False
2020,2021,Best Motion Picture – Non-English Language,La Llorona,"Guatemala, France",False
2020,2021,Best Motion Picture – Non-English Language,"Life Ahead, The",Italy,False
2020,2021,Best Motion Picture - Musical or Comedy,Borat Subsequent Moviefilm,Sacha Baron Cohen,True
2020,2021,Best Motion Picture - Musical or Comedy,Hamilton,,False
2020,2021,Best Motion Picture - Musical or Comedy,Music,,False
2020,2021,Best Motion Picture - Musical or Comedy,Palm Springs,,False
2020,2021,Best Motion Picture - Musical or Comedy,"Prom, The",,False
2020,2021,Best Original Score - Motion Picture,Trent Reznor,Atticus Ross,True
2020,2021,Best Original Score - Motion Picture,Alexandre Desplat,"Midnight Sky, The",False
2020,2021,Best Original Score - Motion Picture,James Newton Howard,News of the World,False
2020,2021,Best Original Score - Motion Picture,Ludwig Göransson,Tenet,False
2020,2021,Best Original Score - Motion Picture,Trent Reznor,Mank,False
2020,2021,Best Original Song - Motion Picture,Io Sì (Seen),Diane Warren,True
2020,2021,Best Original Song - Motion Picture,Fight For You,,False
2020,2021,Best Original Song - Motion Picture,Hear My Voice,,False
2020,2021,Best Original Song - Motion Picture,Speak Now,,False
2020,2021,Best Original Song - Motion Picture,Tigress & Tweed,Raphael Saadiq,False
2020,2021,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Mark Ruffalo,I Know This Much Is True,True
2020,2021,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Bryan Cranston,Your Honor,False
2020,2021,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Ethan Hawke,"Good Lord Bird, The",False
2020,2021,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Hugh Grant,"Undoing, The",False
2020,2021,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Jeff Daniels,"Comey Rule, The",False
2020,2021,Best Performance by an Actor in a Motion Picture - Drama,Chadwick Boseman,Ma Rainey's Black Bottom,True
2020,2021,Best Performance by an Actor in a Motion Picture - Drama,Anthony Hopkins,"Father, The",False
2020,2021,Best Performance by an Actor in a Motion Picture - Drama,Gary Oldman,Mank,False
2020,2021,Best Performance by an Actor in a Motion Picture - Drama,Riz Ahmed,Sound of Metal,False
2020,2021,Best Performance by an Actor in a Motion Picture - Drama,Tahar Rahim,"Mauritanian, The",False
2020,2021,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Sacha Baron Cohen,Borat Subsequent Moviefilm,True
2020,2021,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Andy Samberg,Palm Springs,False
2020,2021,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dev Patel,"Personal History of David Copperfield, The",False
2020,2021,Best Performance by an Actor in a Motion Picture - Musical or Comedy,James Corden,"Prom, The",False
2020,2021,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Lin-Manuel Miranda,Hamilton,False
2020,2021,Best Performance by an Actor in a Supporting Role in any Motion Picture,Daniel Kaluuya,Judas and the Black Messiah,True
2020,2021,Best Performance by an Actor in a Supporting Role in any Motion Picture,Bill Murray,On The Rocks,False
2020,2021,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jared Leto,"Little Things, The",False
2020,2021,Best Performance by an Actor in a Supporting Role in any Motion Picture,Leslie Odom Jr.,One Night in Miami…,False
2020,2021,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sacha Baron Cohen,"Trial of the Chicago 7, The",False
2020,2021,Best Performance by an Actor In A Television Series - Drama,Josh O'Connor,"Crown, The",True
2020,2021,Best Performance by an Actor In A Television Series - Drama,Al Pacino,Hunters,False
2020,2021,Best Performance by an Actor In A Television Series - Drama,Bob Odenkirk,Better Call Saul,False
2020,2021,Best Performance by an Actor In A Television Series - Drama,Jason Bateman,Ozark,False
2020,2021,Best Performance by an Actor In A Television Series - Drama,Matthew Rhys,Perry Mason,False
2020,2021,Best Performance by an Actor in a Television Series - Musical or Comedy,Jason Sudeikis,Ted Lasso,True
2020,2021,Best Performance by an Actor in a Television Series - Musical or Comedy,Don Cheadle,Black Monday,False
2020,2021,Best Performance by an Actor in a Television Series - Musical or Comedy,Eugene Levy,Schitt's Creek,False
2020,2021,Best Performance by an Actor in a Television Series - Musical or Comedy,Nicholas Hoult,"Great, The",False
2020,2021,Best Performance by an Actor in a Television Series - Musical or Comedy,Ramy Youssef,Ramy,False
2020,2021,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",John Boyega,Small Axe,True
2020,2021,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Brendan Gleeson,"Comey Rule, The",False
2020,2021,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Daniel Levy,Schitt's Creek,False
2020,2021,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Donald Sutherland,"Undoing, The",False
2020,2021,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jim Parsons,Hollywood,False
2020,2021,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Anya Taylor-Joy,The Queen's Gambit,True
2020,2021,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Cate Blanchett,Mrs. America,False
2020,2021,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Daisy Edgar-Jones,Normal People,False
2020,2021,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Nicole Kidman,"Undoing, The",False
2020,2021,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Shira Haas,Unorthodox,False
2020,2021,Best Performance by an Actress in a Motion Picture - Drama,Andra Day,"United States vs. Billie Holiday, The",True
2020,2021,Best Performance by an Actress in a Motion Picture - Drama,Carey Mulligan,Promising Young Woman,False
2020,2021,Best Performance by an Actress in a Motion Picture - Drama,Frances McDormand,Nomadland,False
2020,2021,Best Performance by an Actress in a Motion Picture - Drama,Vanessa Kirby,Pieces of a Woman,False
2020,2021,Best Performance by an Actress in a Motion Picture - Drama,Viola Davis,Ma Rainey's Black Bottom,False
2020,2021,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Rosamund Pike,I Care A Lot,True
2020,2021,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Anya Taylor-Joy,Emma.,False
2020,2021,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Kate Hudson,Music,False
2020,2021,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Maria Bakalova,Borat Subsequent Moviefilm,False
2020,2021,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Michelle Pfeiffer,French Exit,False
2020,2021,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jodie Foster,"Mauritanian, The",True
2020,2021,Best Performance by an Actress in a Supporting Role in any Motion Picture,Amanda Seyfried,Mank,False
2020,2021,Best Performance by an Actress in a Supporting Role in any Motion Picture,Glenn Close,Hillbilly Elegy,False
2020,2021,Best Performance by an Actress in a Supporting Role in any Motion Picture,Helena Zengel,News of the World,False
2020,2021,Best Performance by an Actress in a Supporting Role in any Motion Picture,Olivia Colman,"Father, The",False
2020,2021,Best Performance by an Actress In A Television Series - Drama,Emma Corrin,"Crown, The",True
2020,2021,Best Performance by an Actress In A Television Series - Drama,Jodie Comer,Killing Eve,False
2020,2021,Best Performance by an Actress In A Television Series - Drama,Laura Linney,Ozark,False
2020,2021,Best Performance by an Actress In A Television Series - Drama,Olivia Colman,"Crown, The",False
2020,2021,Best Performance by an Actress In A Television Series - Drama,Sarah Paulson,Ratched,False
2020,2021,Best Performance by an Actress in a Television Series - Musical or Comedy,Catherine O'Hara,Schitt's Creek,True
2020,2021,Best Performance by an Actress in a Television Series - Musical or Comedy,Elle Fanning,"Great, The",False
2020,2021,Best Performance by an Actress in a Television Series - Musical or Comedy,Jane Levy,Zoey's Extraordinary Playlist,False
2020,2021,Best Performance by an Actress in a Television Series - Musical or Comedy,Kaley Cuoco,"Flight Attendant, The",False
2020,2021,Best Performance by an Actress in a Television Series - Musical or Comedy,Lily Collins,Emily in Paris,False
2020,2021,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Gillian Anderson,"Crown, The",True
2020,2021,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Annie Murphy,Schitt's Creek,False
2020,2021,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Cynthia Nixon,Ratched,False
2020,2021,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Helena Bonham Carter,"Crown, The",False
2020,2021,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Julia Garner,Ozark,False
2020,2021,Best Screenplay - Motion Picture,Aaron Sorkin,"Trial of the Chicago 7, The",True
2020,2021,Best Screenplay - Motion Picture,Chloé Zhao,Nomadland,False
2020,2021,Best Screenplay - Motion Picture,Emerald Fennell,Promising Young Woman,False
2020,2021,Best Screenplay - Motion Picture,Florian Zeller,"Father, The",False
2020,2021,Best Screenplay - Motion Picture,Jack Fincher,Mank,False
2020,2021,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",The Queen's Gambit,,True
2020,2021,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Normal People,,False
2020,2021,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Small Axe,,False
2020,2021,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television","Undoing, The",,False
2020,2021,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Unorthodox,,False
2020,2021,Best Television Series - Drama,"Crown, The",,True
2020,2021,Best Television Series - Drama,Lovecraft Country,,False
2020,2021,Best Television Series - Drama,"Mandalorian, The",,False
2020,2021,Best Television Series - Drama,Ozark,,False
2020,2021,Best Television Series - Drama,Ratched,,False
2020,2021,Best Television Series - Musical or Comedy,Schitt's Creek,,True
