year_film,year_ceremony,category,name,film,winner
1967,1968,Actor in a leading role,Warren Beatty,Bonnie and Clyde,False
1967,1968,Actor in a leading role,Dustin Hoffman,The Graduate,False
1967,1968,Actor in a leading role,Paul Newman,Cool Hand Luke,False
1967,1968,Actor in a leading role,Rod Steiger,In the Heat of the Night,True
1967,1968,Actor in a leading role,Spencer Tracy,Guess Who's Coming to Dinner,False
1967,1968,Actor in a supporting role,John Cassavetes,The Dirty Dozen,False
1967,1968,Actor in a supporting role,Gene Hackman,Bonnie and Clyde,False
1967,1968,Actor in a supporting role,Cecil Kellaway,Guess Who's Coming to Dinner,False
1967,1968,Actor in a supporting role,George Kennedy,Cool Hand Luke,True
1967,1968,Actor in a supporting role,Michael J. Pollard,Bonnie and Clyde,False
1967,1968,Actress in a leading role,Anne Bancroft,The Graduate,False
1967,1968,Actress in a leading role,Faye Dunaway,Bonnie and Clyde,False
1967,1968,Actress in a leading role,Dame Edith Evans,The Whisperers,False
1967,1968,Actress in a leading role,Audrey Hepburn,Wait until Dark,False
1967,1968,Actress in a leading role,Katharine Hepburn,Guess Who's Coming to Dinner,True
1967,1968,Actress in a supporting role,Carol Channing,Thoroughly Modern Millie,False
1967,1968,Actress in a supporting role,Mildred Natwick,Barefoot in the Park,False
1967,1968,Actress in a supporting role,Estelle Parsons,Bonnie and Clyde,True
1967,1968,Actress in a supporting role,Beah Richards,Guess Who's Coming to Dinner,False
1967,1968,Actress in a supporting role,Katharine Ross,The Graduate,False
1967,1968,Production design,"Art Direction:  John Truscott, Edward Carrere;  Set Decoration:  John W. Brown",Camelot,True
1967,1968,Production design,"Art Direction:  Mario Chiari, Jack Martin Smith, Ed Graves;  Set Decoration:  Walter M. Scott, Stuart A. Reiss",Doctor Dolittle,False
1967,1968,Production design,Art Direction:  Robert Clatworthy;  Set Decoration:  Frank Tuttle,Guess Who's Coming to Dinner,False
1967,1968,Production design,"Art Direction:  Renzo Mongiardino, John DeCuir, Elven Webb, Giuseppe Mariani;  Set Decoration:  Dario Simoni, Luigi Gervasi",The Taming of the Shrew,False
1967,1968,Production design,"Art Direction:  Alexander Golitzen, George C. Webb;  Set Decoration:  Howard Bristol",Thoroughly Modern Millie,False
1967,1968,Cinematography,Burnett Guffey,Bonnie and Clyde,True
1967,1968,Cinematography,Richard H. Kline,Camelot,False
1967,1968,Cinematography,Robert Surtees,Doctor Dolittle,False
1967,1968,Cinematography,Robert Surtees,The Graduate,False
1967,1968,Cinematography,Conrad Hall,In Cold Blood,False
1967,1968,Costume design,Theadora Van Runkle,Bonnie and Clyde,False
1967,1968,Costume design,John Truscott,Camelot,True
1967,1968,Costume design,Bill Thomas,The Happiest Millionaire,False
1967,1968,Costume design,"Irene Sharaff, Danilo Donati",The Taming of the Shrew,False
1967,1968,Costume design,Jean Louis,Thoroughly Modern Millie,False
1967,1968,Director,Arthur Penn,Bonnie and Clyde,False
1967,1968,Director,Mike Nichols,The Graduate,True
1967,1968,Director,Stanley Kramer,Guess Who's Coming to Dinner,False
1967,1968,Director,Richard Brooks,In Cold Blood,False
1967,1968,Director,Norman Jewison,In the Heat of the Night,False
1967,1968,Documentary feature,"Pierre Schoendoerffer, Producer",The Anderson Platoon,True
1967,1968,Documentary feature,"Murray Lerner, Producer",Festival,False
1967,1968,Documentary feature,"Carroll Ballard, Producer",Harvest,False
1967,1968,Documentary feature,"Jack Le Vien, Producer",A King's Story,False
1967,1968,Documentary feature,"William C. Jersey, Producer",A Time for Burning,False
1967,1968,Documentary short film,"Charles E. Guggenheim, Producer",Monument to the Dream,False
1967,1968,Documentary short film,"Christopher Chapman, Producer",A Place to Stand,False
1967,1968,Documentary short film,"Mark Harris and Trevor Greenwood, Producers",The Redwoods,True
1967,1968,Documentary short film,"Robert Fitchett, Producer",See You at the Pillar,False
1967,1968,Documentary short film,"Carl V. Ragsdale, Producer",While I Run This Race,False
1967,1968,Film editing,Frank P. Keller,Beach Red,False
1967,1968,Film editing,Michael Luciano,The Dirty Dozen,False
1967,1968,Film editing,"Samuel E. Beetley, Marjorie Fowler",Doctor Dolittle,False
1967,1968,Film editing,Robert C. Jones,Guess Who's Coming to Dinner,False
1967,1968,Film editing,Hal Ashby,In the Heat of the Night,True
1967,1968,International feature film,Czechoslovakia,Closely Watched Trains,True
1967,1968,International feature film,Spain,El Amor Brujo,False
1967,1968,International feature film,Yugoslavia,I Even Met Happy Gypsies,False
1967,1968,International feature film,France,Live for Life,False
1967,1968,International feature film,Japan,Portrait of Chieko,False
1967,1968,Original score,Lalo Schifrin,Cool Hand Luke,False
1967,1968,Original score,Leslie Bricusse,Doctor Dolittle,False
1967,1968,Original score,Richard Rodney Bennett,Far from the Madding Crowd,False
1967,1968,Original score,Quincy Jones,In Cold Blood,False
1967,1968,Original score,Elmer Bernstein,Thoroughly Modern Millie,True
1967,1968,Original score,"Alfred Newman, Ken Darby",Camelot,True
1967,1968,Original score,"Lionel Newman, Alexander Courage",Doctor Dolittle,False
1967,1968,Original score,DeVol,Guess Who's Coming to Dinner,False
1967,1968,Original score,"Andre Previn, Joseph Gershenson",Thoroughly Modern Millie,False
1967,1968,Original score,John Williams,Valley of the Dolls,False
1967,1968,Original song,Music and Lyrics by Terry Gilkyson,The Jungle Book,False
1967,1968,Original song,Music by Quincy Jones; Lyrics by Bob Russell,Banning,False
1967,1968,Original song,Music by Burt Bacharach; Lyrics by Hal David,Casino Royale,False
1967,1968,Original song,Music and Lyrics by Leslie Bricusse,Doctor Dolittle,True
1967,1968,Original song,Music and Lyrics by James Van Heusen and Sammy Cahn,Thoroughly Modern Millie,False
1967,1968,Best picture,"Warren Beatty, Producer",Bonnie and Clyde,False
1967,1968,Best picture,"Arthur P. Jacobs, Producer",Doctor Dolittle,False
1967,1968,Best picture,"Lawrence Turman, Producer",The Graduate,False
1967,1968,Best picture,"Stanley Kramer, Producer",Guess Who's Coming to Dinner,False
1967,1968,Best picture,"Walter Mirisch, Producer",In the Heat of the Night,True
1967,1968,Short film animated,"Fred Wolf, Producer",The Box,True
1967,1968,Short film animated,"Jean-Charles Meunier, Producer",Hypothese Beta,False
1967,1968,Short film animated,"Robert Verrall and Wolf Koenig, Producers",What on Earth!,False
1967,1968,Short film live action,"Julian Biggs, Producer",Paddle to the Sea,False
1967,1968,Short film live action,"Christopher Chapman, Producer",A Place to Stand,True
1967,1968,Short film live action,"John Ferno, Producer",Sky over Holland,False
1967,1968,Short film live action,"Len Janson and Chuck Menville, Producers","Stop, Look and Listen",False
1967,1968,Sound effects,Warner Bros.-Seven Arts Studio Sound Department,Camelot,False
1967,1968,Sound effects,Metro-Goldwyn-Mayer Studio Sound Department,The Dirty Dozen,False
1967,1968,Sound effects,20th Century-Fox Studio Sound Department,Doctor Dolittle,False
1967,1968,Sound effects,Samuel Goldwyn Studio Sound Department,In the Heat of the Night,True
1967,1968,Sound effects,Universal City Studio Sound Department,Thoroughly Modern Millie,False
1967,1968,Sound effects,John Poyner,The Dirty Dozen,True
1967,1968,Sound effects,James A. Richard,In the Heat of the Night,False
1967,1968,Visual effects,L. B. Abbott,Doctor Dolittle,True
1967,1968,Visual effects,"Howard A. Anderson, Jr., Albert Whitlock",Tobruk,False
1967,1968,Adapted screenplay,"Donn Pearce, Frank R. Pierson",Cool Hand Luke,False
1967,1968,Adapted screenplay,"Calder Willingham, Buck Henry",The Graduate,False
1967,1968,Adapted screenplay,Richard Brooks,In Cold Blood,False
1967,1968,Adapted screenplay,Stirling Silliphant,In the Heat of the Night,True
1967,1968,Adapted screenplay,"Joseph Strick, Fred Haines",Ulysses,False
1967,1968,Adapted screenplay,"David Newman, Robert Benton",Bonnie and Clyde,False
1967,1968,Adapted screenplay,Story by Robert Kaufman;  Screenplay by Norman Lear,Divorce American Style,False
1967,1968,Adapted screenplay,William Rose,Guess Who's Coming to Dinner,True
1967,1968,Adapted screenplay,Jorge Semprun,La Guerre Est Finie,False
1967,1968,Adapted screenplay,Frederic Raphael,Two for the Road,False
1968,1969,Actor in a leading role,Alan Arkin,The Heart Is a Lonely Hunter,False
1968,1969,Actor in a leading role,Alan Bates,The Fixer,False
1968,1969,Actor in a leading role,Ron Moody,Oliver!,False
1968,1969,Actor in a leading role,Peter O'Toole,The Lion in Winter,False
1968,1969,Actor in a leading role,Cliff Robertson,Charly,True
1968,1969,Actor in a supporting role,Jack Albertson,The Subject Was Roses,True
1968,1969,Actor in a supporting role,Seymour Cassel,Faces,False
1968,1969,Actor in a supporting role,Daniel Massey,Star!,False
1968,1969,Actor in a supporting role,Jack Wild,Oliver!,False
1968,1969,Actor in a supporting role,Gene Wilder,The Producers,False
1968,1969,Actress in a leading role,Katharine Hepburn,The Lion in Winter,True
1968,1969,Actress in a leading role,Patricia Neal,The Subject Was Roses,False
1968,1969,Actress in a leading role,Vanessa Redgrave,Isadora,False
1968,1969,Actress in a leading role,Barbra Streisand,Funny Girl,True
1968,1969,Actress in a leading role,Joanne Woodward,"Rachel, Rachel",False
1968,1969,Actress in a supporting role,Lynn Carlin,Faces,False
1968,1969,Actress in a supporting role,Ruth Gordon,Rosemary's Baby,True
1968,1969,Actress in a supporting role,Sondra Locke,The Heart Is a Lonely Hunter,False
1968,1969,Actress in a supporting role,Kay Medford,Funny Girl,False
1968,1969,Actress in a supporting role,Estelle Parsons,"Rachel, Rachel",False
1968,1969,Production design,"Art Direction:  John Box, Terence Marsh;  Set Decoration:  Vernon Dixon, Ken Muggleston",Oliver!,True
1968,1969,Production design,"Art Direction:  George W. Davis, Edward Carfagno",The Shoes of the Fisherman,False
1968,1969,Production design,"Art Direction:  Boris Leven;  Set Decoration:  Walter M. Scott, Howard Bristol",Star!,False
1968,1969,Production design,"Art Direction:  Tony Masters, Harry Lange, Ernie Archer",2001: A Space Odyssey,False
1968,1969,Production design,"Art Direction:  Mikhail Bogdanov, Gennady Myasnikov;  Set Decoration:  G. Koshelev, V. Uvarov",War and Peace,False
1968,1969,Cinematography,Harry Stradling,Funny Girl,False
1968,1969,Cinematography,Daniel L. Fapp,Ice Station Zebra,False
1968,1969,Cinematography,Oswald Morris,Oliver!,False
1968,1969,Cinematography,Pasqualino De Santis,Romeo and Juliet,True
1968,1969,Cinematography,Ernest Laszlo,Star!,False
1968,1969,Costume design,Margaret Furse,The Lion in Winter,False
1968,1969,Costume design,Phyllis Dalton,Oliver!,False
1968,1969,Costume design,Morton Haack,Planet of the Apes,False
1968,1969,Costume design,Danilo Donati,Romeo and Juliet,True
1968,1969,Costume design,Donald Brooks,Star!,False
1968,1969,Director,Gillo Pontecorvo,The Battle of Algiers,False
1968,1969,Director,Anthony Harvey,The Lion in Winter,False
1968,1969,Director,Carol Reed,Oliver!,True
1968,1969,Director,Franco Zeffirelli,Romeo and Juliet,False
1968,1969,Director,Stanley Kubrick,2001: A Space Odyssey,False
1968,1969,Documentary feature,"James Blue, Producer",A Few Notes on Our Food Problem,False
1968,1969,Documentary feature,"Bill McGaw, Producer",Journey into Self,True
1968,1969,Documentary feature,"William Cayton, Producer",The Legendary Champions,False
1968,1969,Documentary feature,"David H. Sawyer, Producer",Other Voices,False
1968,1969,Documentary feature,"Robert Cohn and Alex Grasshoff, Producers",Young Americans,False
1968,1969,Documentary short film,"Fali Bilimoria, Producer",The House That Ananda Built,False
1968,1969,Documentary short film,"Lee R. Bobker, Producer",The Revolving Door,False
1968,1969,Documentary short film,"Thomas P. Kelly, Jr., Producer",A Space to Grow,False
1968,1969,Documentary short film,"Dan E. Weisburd, Producer",A Way Out of the Wilderness,False
1968,1969,Documentary short film,"Saul Bass, Producer",Why Man Creates,True
1968,1969,Film editing,Frank P. Keller,Bullitt,True
1968,1969,Film editing,"Robert Swink, Maury Winetrobe, William Sands",Funny Girl,False
1968,1969,Film editing,Frank Bracht,The Odd Couple,False
1968,1969,Film editing,Ralph Kemplen,Oliver!,False
1968,1969,Film editing,"Fred Feitshans, Eve Newman",Wild in the Streets,False
1968,1969,International feature film,Hungary,The Boys of Paul Street,False
1968,1969,International feature film,Czechoslovakia,The Firemen's Ball,False
1968,1969,International feature film,Italy,The Girl with the Pistol,False
1968,1969,International feature film,France,Stolen Kisses,False
1968,1969,International feature film,Union of Soviet Socialist Republics,War and Peace,True
1968,1969,Original score,Lalo Schifrin,The Fox,False
1968,1969,Original score,John Barry,The Lion in Winter,True
1968,1969,Original score,Jerry Goldsmith,Planet of the Apes,False
1968,1969,Original score,Alex North,The Shoes of the Fisherman,False
1968,1969,Original score,Michel Legrand,The Thomas Crown Affair,False
1968,1969,Original score,Adaptation score by Ray Heindorf,Finian's Rainbow,False
1968,1969,Original score,Adaptation score by Walter Scharf,Funny Girl,False
1968,1969,Original score,Adaptation score by John Green,Oliver!,True
1968,1969,Original score,Adaptation score by Lennie Hayton,Star!,False
1968,1969,Original score,Music and adaptation score by Michel Legrand; lyrics by Jacques Demy,The Young Girls of Rochefort,False
1968,1969,Original song,Music and Lyrics by Richard M. Sherman and Robert B. Sherman,Chitty Chitty Bang Bang,False
1968,1969,Original song,Music by Quincy Jones; Lyrics by Bob Russell,For Love of Ivy,False
1968,1969,Original song,Music by Jule Styne; Lyrics by Bob Merrill,Funny Girl,False
1968,1969,Original song,Music by Jimmy Van Heusen; Lyrics by Sammy Cahn,Star!,False
1968,1969,Original song,Music by Michel Legrand; Lyrics by Alan Bergman and Marilyn Bergman,The Thomas Crown Affair,True
1968,1969,Best picture,"Ray Stark, Producer",Funny Girl,False
1968,1969,Best picture,"Martin Poll, Producer",The Lion in Winter,False
1968,1969,Best picture,"John Woolf, Producer",Oliver!,True
1968,1969,Best picture,"Paul Newman, Producer","Rachel, Rachel",False
1968,1969,Best picture,"Anthony Havelock-Allan and John Brabourne, Producers",Romeo and Juliet,False
1968,1969,Short film animated,"Wolf Koenig and Jim MacKay, Producers",The House That Jack Built,False
1968,1969,Short film animated,"Jimmy Murakami, Producer",The Magic Pear Tree,False
1968,1969,Short film animated,"John Hubley and Faith Hubley, Producers",Windy Day,False
1968,1969,Short film animated,"Walt Disney, Producer",Winnie the Pooh and the Blustery Day,True
1968,1969,Short film live action,"George Coe, Sidney Davis and Anthony Lover, Producers",The Dove,False
1968,1969,Short film live action,National Film Board of Canada,Duo,False
1968,1969,Short film live action,"John Astin, Producer",Prelude,False
1968,1969,Short film live action,"Charles Guggenheim, Producer",Robert Kennedy Remembered,True
1968,1969,Sound effects,Warner Bros.-Seven Arts Studio Sound Department,Bullitt,False
1968,1969,Sound effects,Warner Bros.-Seven Arts Studio Sound Department,Finian's Rainbow,False
1968,1969,Sound effects,Columbia Studio Sound Department,Funny Girl,False
1968,1969,Sound effects,Shepperton Studio Sound Department,Oliver!,True
