film,year_film,Total oscars nominations,Total oscars won,Oscars main categories nominations,Oscars main categories won,Oscars best picture,G.G. nominations,G.G. won,G.G. main categories nominations,G.G. main categories won,G.G. best motion picture
Far from the Madding Crowd,1967,1.0,0.0,0.0,0.0,0.0,,,,,
I Even Met Happy Gypsies,1967,1.0,0.0,0.0,0.0,0.0,,,,,
Ski Fever,1967,,,,,,1.0,0.0,0.0,0.0,0.0
El Amor Brujo,1967,1.0,0.0,0.0,0.0,0.0,,,,,
A King's Story,1967,1.0,0.0,0.0,0.0,0.0,,,,,
In Cold Blood,1967,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
In the Heat of the Night,1967,6.0,4.0,3.0,2.0,1.0,5.0,2.0,4.0,1.0,1.0
Smashing Time,1967,,,,,,1.0,0.0,0.0,0.0,0.0
The Stranger,1967,,,,,,1.0,0.0,0.0,0.0,0.0
The Comedians,1967,,,,,,1.0,0.0,1.0,0.0,0.0
Divorce American Style,1967,1.0,0.0,0.0,0.0,0.0,,,,,
The Redwoods,1967,1.0,1.0,0.0,0.0,0.0,,,,,
Paddle to the Sea,1967,1.0,0.0,0.0,0.0,0.0,,,,,
The Taming of the Shrew,1967,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
The Whisperers,1967,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0
Portrait of Chieko,1967,1.0,0.0,0.0,0.0,0.0,,,,,
Hypothese Beta,1967,1.0,0.0,0.0,0.0,0.0,,,,,
The Jungle Book,1967,1.0,0.0,0.0,0.0,0.0,,,,,
The Happiest Millionaire,1967,1.0,0.0,0.0,0.0,0.0,,,,,
A Time for Burning,1967,1.0,0.0,0.0,0.0,0.0,,,,,
The Climax,1967,,,,,,2.0,0.0,1.0,0.0,0.0
The Anderson Platoon,1967,1.0,1.0,0.0,0.0,0.0,,,,,
The Fox,1967,,,,,,4.0,1.0,2.0,0.0,0.0
Guess Who's Coming to Dinner,1967,10.0,2.0,6.0,1.0,0.0,,,,,
"Stop, Look and Listen",1967,1.0,0.0,0.0,0.0,0.0,,,,,
The Box,1967,1.0,1.0,0.0,0.0,0.0,,,,,
Harvest,1967,1.0,0.0,0.0,0.0,0.0,,,,,
The Dirty Dozen,1967,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Sky over Holland,1967,1.0,0.0,0.0,0.0,0.0,,,,,
The Jokers,1967,,,,,,1.0,0.0,0.0,0.0,0.0
Festival,1967,1.0,0.0,0.0,0.0,0.0,,,,,
A Place to Stand,1967,2.0,1.0,0.0,0.0,0.0,,,,,
See You at the Pillar,1967,1.0,0.0,0.0,0.0,0.0,,,,,
The Graduate,1967,7.0,1.0,5.0,1.0,0.0,5.0,3.0,4.0,3.0,1.0
Thoroughly Modern Millie,1967,6.0,0.0,1.0,0.0,0.0,5.0,1.0,3.0,1.0,0.0
Tobruk,1967,1.0,0.0,0.0,0.0,0.0,,,,,
Doctor Dolittle,1967,8.0,2.0,1.0,0.0,0.0,5.0,1.0,3.0,1.0,0.0
Two for the Road,1967,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Monument to the Dream,1967,1.0,0.0,0.0,0.0,0.0,,,,,
Casino Royale,1967,1.0,0.0,0.0,0.0,0.0,,,,,
Cool Hand Luke,1967,4.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0
Camelot,1967,5.0,3.0,0.0,0.0,0.0,5.0,3.0,3.0,1.0,0.0
Accident,1967,,,,,,1.0,0.0,0.0,0.0,0.0
Woman Times Seven,1967,,,,,,1.0,0.0,1.0,0.0,0.0
La Guerre Est Finie,1967,1.0,0.0,0.0,0.0,0.0,,,,,
Bonnie and Clyde,1967,9.0,2.0,6.0,1.0,0.0,6.0,0.0,5.0,0.0,0.0
Elvira Madigan,1967,,,,,,1.0,0.0,0.0,0.0,0.0
Banning,1967,1.0,0.0,0.0,0.0,0.0,,,,,
Far From The Madding Crowd,1967,,,,,,3.0,0.0,3.0,0.0,0.0
Barefoot in the Park,1967,1.0,0.0,1.0,0.0,0.0,,,,,
Guess Who's Coming To Dinner,1967,,,,,,6.0,0.0,5.0,0.0,0.0
Live for Life,1967,1.0,0.0,0.0,0.0,0.0,,,,,
Beach Red,1967,1.0,0.0,0.0,0.0,0.0,,,,,
While I Run This Race,1967,1.0,0.0,0.0,0.0,0.0,,,,,
Wait Until Dark,1967,,,,,,2.0,0.0,2.0,0.0,0.0
Live For Life,1967,,,,,,3.0,1.0,0.0,0.0,0.0
Wait until Dark,1967,1.0,0.0,1.0,0.0,0.0,,,,,
Ulysses,1967,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Closely Watched Trains,1967,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
What on Earth!,1967,1.0,0.0,0.0,0.0,0.0,,,,,
Valley of the Dolls,1967,1.0,0.0,0.0,0.0,0.0,,,,,
The Firemen's Ball,1968,1.0,0.0,0.0,0.0,0.0,,,,,
Benjamin,1968,,,,,,1.0,0.0,0.0,0.0,0.0
Finian's Rainbow,1968,2.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
The Dove,1968,1.0,0.0,0.0,0.0,0.0,,,,,
"Buona Sera, Mrs. Campbell",1968,,,,,,3.0,0.0,1.0,0.0,0.0
For Love of Ivy,1968,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
The Shoes of the Fisherman,1968,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
The Subject Was Roses,1968,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
The Producers,1968,2.0,1.0,1.0,0.0,0.0,,,,,
The Boys of Paul Street,1968,1.0,0.0,0.0,0.0,0.0,,,,,
The Fixer,1968,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
The Boston Strangler,1968,,,,,,1.0,0.0,1.0,0.0,0.0
The Battle of Algiers,1968,2.0,0.0,1.0,0.0,0.0,,,,,
The Bride Wore Black,1968,,,,,,1.0,0.0,0.0,0.0,0.0
The Thomas Crown Affair,1968,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
The Young Girls of Rochefort,1968,1.0,0.0,0.0,0.0,0.0,,,,,
"Odd Couple, The (1968)",1968,,,,,,2.0,0.0,2.0,0.0,0.0
Funny Girl,1968,8.0,1.0,3.0,1.0,0.0,4.0,1.0,3.0,1.0,0.0
The Fox,1968,1.0,0.0,0.0,0.0,0.0,,,,,
Poor Cow,1968,,,,,,1.0,0.0,0.0,0.0,0.0
The Girl with the Pistol,1968,1.0,0.0,0.0,0.0,0.0,,,,,
Charly,1968,1.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0
Duo,1968,1.0,0.0,0.0,0.0,0.0,,,,,
Shame,1968,,,,,,1.0,0.0,0.0,0.0,0.0
Why Man Creates,1968,1.0,1.0,0.0,0.0,0.0,,,,,
Wild in the Streets,1968,1.0,0.0,0.0,0.0,0.0,,,,,
The Magic Pear Tree,1968,1.0,0.0,0.0,0.0,0.0,,,,,
Windy Day,1968,1.0,0.0,0.0,0.0,0.0,,,,,
Winnie the Pooh and the Blustery Day,1968,1.0,1.0,0.0,0.0,0.0,,,,,
War and Peace,1968,2.0,1.0,0.0,0.0,0.0,,,,,
Young Americans,1968,1.0,0.0,0.0,0.0,0.0,,,,,
The Lion in Winter,1968,7.0,3.0,4.0,1.0,0.0,7.0,2.0,5.0,2.0,1.0
The Legendary Champions,1968,1.0,0.0,0.0,0.0,0.0,,,,,
Chitty Chitty Bang Bang,1968,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
The House That Jack Built,1968,1.0,0.0,0.0,0.0,0.0,,,,,
The House That Ananda Built,1968,1.0,0.0,0.0,0.0,0.0,,,,,
The Heart Is a Lonely Hunter,1968,2.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
The Revolving Door,1968,1.0,0.0,0.0,0.0,0.0,,,,,
Faces,1968,3.0,0.0,2.0,0.0,0.0,,,,,
"Producers, The (1967)",1968,,,,,,2.0,0.0,1.0,0.0,0.0
Joanna,1968,,,,,,1.0,0.0,0.0,0.0,0.0
Bullitt,1968,2.0,1.0,0.0,0.0,0.0,,,,,
The Odd Couple,1968,2.0,0.0,0.0,0.0,0.0,,,,,
A Way Out of the Wilderness,1968,1.0,0.0,0.0,0.0,0.0,,,,,
I Even Met Happy Gypsies,1968,,,,,,1.0,0.0,0.0,0.0,0.0
The Killing of Sister George,1968,,,,,,1.0,0.0,1.0,0.0,0.0
War and Peace (1966),1968,,,,,,1.0,1.0,0.0,0.0,0.0
Journey into Self,1968,1.0,1.0,0.0,0.0,0.0,,,,,
"Rachel, Rachel",1968,4.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
Oliver!,1968,11.0,5.0,4.0,2.0,1.0,5.0,2.0,4.0,2.0,1.0
Isadora,1968,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Other Voices,1968,1.0,0.0,0.0,0.0,0.0,,,,,
2001: A Space Odyssey,1968,4.0,1.0,1.0,0.0,0.0,,,,,
Hot Millions,1968,1.0,0.0,0.0,0.0,0.0,,,,,
Rosemary's Baby,1968,2.0,1.0,1.0,1.0,0.0,4.0,1.0,2.0,1.0,0.0
Planet of the Apes,1968,2.0,0.0,0.0,0.0,0.0,,,,,
Prelude,1968,1.0,0.0,0.0,0.0,0.0,,,,,
Romeo and Juliet,1968,4.0,2.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0
Robert Kennedy Remembered,1968,1.0,1.0,0.0,0.0,0.0,,,,,
The Scalphunters,1968,,,,,,1.0,0.0,1.0,0.0,0.0
A Few Notes on Our Food Problem,1968,1.0,0.0,0.0,0.0,0.0,,,,,
Star!,1968,7.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0
