,film,year_film,Total oscars nominations,Total oscars won,Oscars best picture,G.G. nominations,G.G. won,G.G. best motion picture
0,Far from the Madding Crowd,1967,1.0,0.0,0.0,,,
1,I Even Met Happy Gypsies,1967,1.0,0.0,0.0,,,
2,Ski Fever,1967,,,,1.0,0.0,0.0
3,El Amor Brujo,1967,1.0,0.0,0.0,,,
4,A King's Story,1967,1.0,0.0,0.0,,,
5,In Cold Blood,1967,4.0,0.0,0.0,1.0,0.0,0.0
6,In the Heat of the Night,1967,6.0,4.0,1.0,5.0,2.0,1.0
7,Smashing Time,1967,,,,1.0,0.0,0.0
8,The Stranger,1967,,,,1.0,0.0,0.0
9,The Comedians,1967,,,,1.0,0.0,0.0
10,Divorce American Style,1967,1.0,0.0,0.0,,,
11,The Redwoods,1967,1.0,1.0,0.0,,,
12,Paddle to the Sea,1967,1.0,0.0,0.0,,,
13,The Taming of the Shrew,1967,2.0,0.0,0.0,2.0,0.0,0.0
14,The Whisperers,1967,1.0,0.0,0.0,2.0,1.0,0.0
15,Portrait of Chieko,1967,1.0,0.0,0.0,,,
16,Hypothese Beta,1967,1.0,0.0,0.0,,,
17,The Jungle Book,1967,1.0,0.0,0.0,,,
18,The Happiest Millionaire,1967,1.0,0.0,0.0,,,
19,A Time for Burning,1967,1.0,0.0,0.0,,,
20,The Climax,1967,,,,2.0,0.0,0.0
21,The Anderson Platoon,1967,1.0,1.0,0.0,,,
22,The Fox,1967,,,,4.0,1.0,0.0
23,Guess Who's Coming to Dinner,1967,10.0,2.0,0.0,,,
24,"Stop, Look and Listen",1967,1.0,0.0,0.0,,,
25,The Box,1967,1.0,1.0,0.0,,,
26,Harvest,1967,1.0,0.0,0.0,,,
27,The Dirty Dozen,1967,3.0,0.0,0.0,1.0,0.0,0.0
28,Sky over Holland,1967,1.0,0.0,0.0,,,
29,The Jokers,1967,,,,1.0,0.0,0.0
30,Festival,1967,1.0,0.0,0.0,,,
31,A Place to Stand,1967,2.0,1.0,0.0,,,
32,See You at the Pillar,1967,1.0,0.0,0.0,,,
33,The Graduate,1967,7.0,1.0,0.0,5.0,3.0,1.0
34,Thoroughly Modern Millie,1967,6.0,0.0,0.0,5.0,1.0,0.0
35,Tobruk,1967,1.0,0.0,0.0,,,
36,Doctor Dolittle,1967,8.0,2.0,0.0,5.0,1.0,0.0
37,Two for the Road,1967,1.0,0.0,0.0,2.0,0.0,0.0
38,Monument to the Dream,1967,1.0,0.0,0.0,,,
39,Casino Royale,1967,1.0,0.0,0.0,,,
40,Cool Hand Luke,1967,4.0,1.0,0.0,2.0,0.0,0.0
41,Camelot,1967,5.0,3.0,0.0,5.0,3.0,0.0
42,Accident,1967,,,,1.0,0.0,0.0
